staffId,name,skills,experience,educationLevel,positionRequirements
S001,姓名001,"['Communication', 'Problem Solving', 'Leadership']",10,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S002,姓名002,"['Project Management', 'Problem Solving', 'Problem Solving']",3,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S003,姓名003,"['Machine Learning', 'Programming', 'Leadership']",7,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S004,姓名004,"['Programming', 'Project Management', 'Problem Solving']",16,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S005,姓名005,"['Project Management', 'Project Management', 'Programming', 'Innovation']",16,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S006,姓名006,['Machine Learning'],17,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S007,姓名007,"['Communication', 'Innovation', 'Innovation', 'Machine Learning']",2,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S008,姓名008,"['Communication', 'Problem Solving', 'Data Analysis', 'Communication']",1,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S009,姓名009,"['Innovation', 'Problem Solving']",16,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S010,姓名010,"['Data Analysis', 'Data Analysis', 'Programming', 'Programming']",12,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S011,姓名011,"['Machine Learning', 'Project Management', 'Communication']",5,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S012,姓名012,"['Project Management', 'Leadership', 'Innovation', 'Innovation']",5,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S013,姓名013,"['Innovation', 'Programming', 'Communication']",9,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S014,姓名014,"['Communication', 'Project Management', 'Data Analysis']",9,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S015,姓名015,"['Problem Solving', 'Programming', 'Leadership']",3,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S016,姓名016,['Data Analysis'],19,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S017,姓名017,"['Machine Learning', 'Communication', 'Data Analysis']",16,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S018,姓名018,"['Innovation', 'Machine Learning', 'Machine Learning', 'Data Analysis']",16,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S019,姓名019,"['Problem Solving', 'Machine Learning']",3,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S020,姓名020,"['Communication', 'Leadership', 'Communication', 'Leadership']",1,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S021,姓名021,"['Problem Solving', 'Project Management', 'Leadership', 'Programming']",11,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S022,姓名022,"['Data Analysis', 'Communication']",17,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S023,姓名023,"['Project Management', 'Communication']",8,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S024,姓名024,"['Innovation', 'Innovation']",4,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S025,姓名025,"['Machine Learning', 'Communication']",6,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S026,姓名026,"['Problem Solving', 'Leadership']",8,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S027,姓名027,"['Machine Learning', 'Communication']",3,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S028,姓名028,"['Machine Learning', 'Innovation']",16,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S029,姓名029,"['Innovation', 'Leadership', 'Project Management', 'Leadership']",3,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S030,姓名030,"['Innovation', 'Leadership', 'Communication', 'Data Analysis']",18,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
